x,y,z
1.0,0.0,0.0
1.0499153,1.1562683e-05,0.0
1.0998331,1.528387e-05,0.0
1.1497543,3.8180756e-06,0.0
1.1996787,-2.2440654e-05,0.0
1.2496063,-6.3103354e-05,0.0
1.2995372,-0.00011776935,0.0
1.3494713,-0.00018602531,0.0
1.3994087,-0.00026744427,0.0
1.4493493,-0.0003615845,0.0
1.499293,-0.00046798828,0.0
1.5492399,-0.00058618054,0.0
1.59919,-0.0007156674,0.0
1.6491433,-0.0008559345,0.0
1.6990999,-0.0010064454,0.0
1.7490596,-0.001166639,0.0
1.7990224,-0.001335928,0.0
1.8489885,-0.0015136958,0.0
1.8989578,-0.001699294,0.0
1.9489303,-0.001892039,0.0
1.9989059,-0.0020912085,0.0
2.0488849,-0.0022960373,0.0
2.098867,-0.002505713,0.0
2.1488523,-0.0027193697,0.0
2.1988409,-0.0029360831,0.0
2.2488327,-0.0031548622,0.0
2.298828,-0.003374642,0.0
2.3488264,-0.0035942732,0.0
2.3988283,-0.0038125112,0.0
2.4488335,-0.0040280023,0.0
2.498842,-0.004239267,0.0
2.548854,-0.0044446834,0.0
2.5988698,-0.00464246,0.0
2.648889,-0.0048306095,0.0
2.698912,-0.005006913,0.0
2.7489386,-0.0051688743,0.0
2.798969,-0.0053136647,0.0
2.8490033,-0.0054380503,0.0
2.8990417,-0.005538295,0.0
2.9490843,-0.0056100357,0.0
2.9991314,-0.0056481063,0.0
3.0491831,-0.0056462944,0.0
3.0992398,-0.0055969874,0.0
3.1493018,-0.0054906434,0.0
3.1993694,-0.005314953,0.0
3.2494435,-0.005053446,0.0
3.2995248,-0.004682974,0.0
3.3496146,-0.0041686688,0.0
3.399715,-0.0034521555,0.0
3.4498305,-0.0024162098,0.0
3.5,0.0,0.0
0.97902673,0.0010005427,0.0
1.0094937,-0.014463059,0.0
1.0503372,-0.023453932,0.0
1.0951785,-0.029780872,0.0
1.141779,-0.03486743,0.0
1.1892669,-0.03930722,0.0
1.2372679,-0.043375388,0.0
1.2856053,-0.0472122,0.0
1.3341873,-0.050895702,0.0
1.3829613,-0.05447286,0.0
1.431895,-0.057973884,0.0
1.480967,-0.06141932,0.0
1.5301625,-0.06482376,0.0
1.5794708,-0.06819795,0.0
1.6288841,-0.07154999,0.0
1.6783967,-0.07488614,0.0
1.7280046,-0.07821129,0.0
1.7777046,-0.08152929,0.0
1.8274947,-0.08484322,0.0
1.877374,-0.088155515,0.0
1.9273419,-0.09146812,0.0
1.9773985,-0.09478254,0.0
2.0275445,-0.09809995,0.0
2.077781,-0.101421185,0.0
2.1281097,-0.104746826,0.0
2.1785326,-0.108077206,0.0
2.2290523,-0.11141242,0.0
2.2796717,-0.11475237,0.0
2.3303945,-0.11809671,0.0
2.3812246,-0.121444926,0.0
2.4321666,-0.124796286,0.0
2.4832253,-0.12814984,0.0
2.5344071,-0.13150439,0.0
2.585718,-0.13485855,0.0
2.6371653,-0.13821064,0.0
2.6887577,-0.14155866,0.0
2.7405047,-0.14490037,0.0
2.792417,-0.14823307,0.0
2.8445075,-0.15155368,0.0
2.8967905,-0.1548586,0.0
2.9492834,-0.1581437,0.0
3.0020065,-0.16140409,0.0
3.054985,-0.1646341,0.0
3.1082485,-0.16782705,0.0
3.1618342,-0.17097525,0.0
3.2157896,-0.17406961,0.0
3.2701747,-0.17709984,0.0
3.3250692,-0.18005459,0.0
3.3805785,-0.18292256,0.0
3.4368477,-0.18569544,0.0
3.49408,-0.18837155,0.0
0.9575111,0.0029009113,0.0
0.97927403,-0.019345842,0.0
1.0110096,-0.03622765,0.0
1.0491059,-0.04932123,0.0
1.090893,-0.060066406,0.0
1.1348393,-0.06937706,0.0
1.180112,-0.07779024,0.0
1.2262565,-0.085620984,0.0
1.2730163,-0.09305901,0.0
1.3202406,-0.10022292,0.0
1.3678355,-0.107190095,0.0
1.4157407,-0.11401305,0.0
1.4639148,-0.120728895,0.0
1.5123289,-0.12736471,0.0
1.5609624,-0.13394085,0.0
1.6098002,-0.140473,0.0
1.6588311,-0.14697355,0.0
1.7080473,-0.1534524,0.0
1.7574432,-0.15991761,0.0
1.8070151,-0.16637585,0.0
1.8567611,-0.17283265,0.0
1.9066803,-0.17929268,0.0
1.9567736,-0.18575987,0.0
2.0070426,-0.19223759,0.0
2.0574903,-0.19872865,0.0
2.1081202,-0.2052355,0.0
2.158937,-0.2117602,0.0
2.2099464,-0.21830446,0.0
2.2611554,-0.22486979,0.0
2.3125713,-0.23145737,0.0
2.3642032,-0.2380682,0.0
2.416061,-0.24470302,0.0
2.468156,-0.25136247,0.0
2.5205014,-0.2580469,0.0
2.573111,-0.26475665,0.0
2.6260014,-0.2714918,0.0
2.6791909,-0.27825227,0.0
2.7327003,-0.28503802,0.0
2.7865539,-0.29184887,0.0
2.840778,-0.29868457,0.0
2.895405,-0.30554497,0.0
2.950471,-0.3124301,0.0
3.0060182,-0.31934017,0.0
3.062097,-0.32627597,0.0
3.1187673,-0.33323917,0.0
3.1760988,-0.34023276,0.0
3.234177,-0.34726194,0.0
3.2931046,-0.35433525,0.0
3.3530045,-0.36146644,0.0
3.4140253,-0.368677,0.0
3.476344,-0.3759997,0.0
0.9353193,0.0047580223,0.0
0.9525071,-0.02087997,0.0
0.9778411,-0.042897154,0.0
1.0097393,-0.061552268,0.0
1.0463213,-0.077583045,0.0
1.0860833,-0.09172692,0.0
1.1279958,-0.10455429,0.0
1.1713972,-0.11646559,0.0
1.2158697,-0.1277327,0.0
1.2611479,-0.13853961,0.0
