x,y,z
1.0,0.0,0.0
1.0499153,1.1562683e-05,0.0
1.0998331,1.528387e-05,0.0
1.1497543,3.8180756e-06,0.0
1.1996787,-2.2440654e-05,0.0
1.2496063,-6.3103354e-05,0.0
1.2995372,-0.00011776935,0.0
1.3494713,-0.00018602531,0.0
1.3994087,-0.00026744427,0.0
1.4493493,-0.0003615845,0.0
1.499293,-0.00046798828,0.0
1.5492399,-0.00058618054,0.0
1.59919,-0.0007156674,0.0
1.6491433,-0.0008559345,0.0
1.6990999,-0.0010064454,0.0
1.7490596,-0.001166639,0.0
1.7990224,-0.001335928,0.0
1.8489885,-0.0015136958,0.0
1.8989578,-0.001699294,0.0
1.9489303,-0.001892039,0.0
1.9989059,-0.0020912085,0.0
2.0488849,-0.0022960373,0.0
2.098867,-0.002505713,0.0
2.1488523,-0.0027193697,0.0
2.1988409,-0.0029360831,0.0
2.2488327,-0.0031548622,0.0
2.298828,-0.003374642,0.0
2.3488264,-0.0035942732,0.0
2.3988283,-0.0038125112,0.0
2.4488335,-0.0040280023,0.0
2.498842,-0.004239267,0.0
2.548854,-0.0044446834,0.0
2.5988698,-0.00464246,0.0
2.648889,-0.0048306095,0.0
2.698912,-0.005006913,0.0
2.7489386,-0.0051688743,0.0
2.798969,-0.0053136647,0.0
2.8490033,-0.0054380503,0.0
2.8990417,-0.005538295,0.0
2.9490843,-0.0056100357,0.0
2.9991314,-0.0056481063,0.0
3.0491831,-0.0056462944,0.0
3.0992398,-0.0055969874,0.0
3.1493018,-0.0054906434,0.0
3.1993694,-0.005314953,0.0
3.2494435,-0.005053446,0.0
3.2995248,-0.004682974,0.0
3.3496146,-0.0041686688,0.0
3.399715,-0.0034521555,0.0
3.4498305,-0.0024162098,0.0
3.5,0.0,0.0
0.97902673,0.0010005427,0.0
1.0170413,-0.014569718,0.0
1.0629396,-0.022066379,0.0
1.1110997,-0.026958495,0.0
1.1600013,-0.030891819,0.0
1.2092015,-0.03442231,0.0
1.2585582,-0.03776351,0.0
1.308018,-0.041009866,0.0
1.3575566,-0.04420914,0.0
1.4071605,-0.047388222,0.0
1.4568216,-0.050563406,0.0
1.506534,-0.05374504,0.0
1.5562932,-0.05693987,0.0
1.6060964,-0.060152356,0.0
1.6559405,-0.063385434,0.0
1.7058233,-0.06664098,0.0
1.7557427,-0.06992016,0.0
1.805697,-0.07322359,0.0
1.8556846,-0.076551504,0.0
1.9057044,-0.07990382,0.0
1.9557548,-0.08328022,0.0
2.0058348,-0.08668022,0.0
2.055944,-0.090103135,0.0
2.1060815,-0.093548186,0.0
2.1562471,-0.09701446,0.0
2.2064407,-0.10050093,0.0
2.256663,-0.10400648,0.0
2.3069148,-0.10752991,0.0
2.3571973,-0.11106993,0.0
2.407513,-0.11462516,0.0
2.4578643,-0.11819412,0.0
2.508255,-0.12177524,0.0
2.5586903,-0.12536685,0.0
2.6091754,-0.12896717,0.0
2.6597185,-0.13257426,0.0
2.7103279,-0.13618605,0.0
2.7610145,-0.13980022,0.0
2.8117912,-0.14341427,0.0
2.8626735,-0.1470254,0.0
2.9136796,-0.15063046,0.0
2.9648314,-0.15422581,0.0
3.016154,-0.1578073,0.0
3.0676787,-0.16137014,0.0
3.119442,-0.16490872,0.0
3.1714885,-0.1684165,0.0
3.2238734,-0.17188594,0.0
3.276664,-0.17530842,0.0
3.3299477,-0.17867471,0.0
3.3838363,-0.18197598,0.0
3.4384792,-0.18520693,0.0
3.49408,-0.18837155,0.0
0.9575111,0.0029009113,0.0
0.98914874,-0.02146553,0.0
1.0299305,-0.037064254,0.0
1.07518,-0.047904335,0.0
1.1223941,-0.05643361,0.0
1.1705025,-0.0638387,0.0
1.219069,-0.07067523,0.0
1.2679095,-0.07721241,0.0
1.31694,-0.083589405,0.0
1.3661172,-0.08988352,0.0
1.4154166,-0.09614062,0.0
1.4648224,-0.10238931,0.0
1.5143237,-0.10864814,0.0
1.5639124,-0.11492943,0.0
1.6135823,-0.12124145,0.0
1.6633279,-0.1275898,0.0
1.7131451,-0.13397823,0.0
1.76303,-0.14040922,0.0
1.8129791,-0.14688423,0.0
1.8629894,-0.15340413,0.0
1.9130584,-0.15996918,0.0
1.9631834,-0.16657929,0.0
2.0133626,-0.17323408,0.0
2.0635948,-0.17993289,0.0
2.1138785,-0.18667494,0.0
2.1642134,-0.19345929,0.0
2.2146,-0.20028487,0.0
2.2650392,-0.20715062,0.0
2.3155322,-0.21405543,0.0
2.3660831,-0.22099817,0.0
2.4166958,-0.22797778,0.0
2.4673765,-0.23499325,0.0
2.5181327,-0.24204367,0.0
2.5689747,-0.2491283,0.0
2.6199152,-0.25624654,0.0
2.6709685,-0.26339796,0.0
2.7221537,-0.27058244,0.0
2.7734928,-0.27780014,0.0
2.825012,-0.2850515,0.0
2.8767424,-0.29233748,0.0
2.928721,-0.29965937,0.0
2.98099,-0.30701923,0.0
3.0336,-0.31441972,0.0
3.0866096,-0.3218646,0.0
3.1400871,-0.32935897,0.0
3.1941128,-0.3369096,0.0
3.2487798,-0.34452596,0.0
3.3041973,-0.352221,0.0
3.360494,-0.36001292,0.0
3.4178185,-0.36792728,0.0
3.476344,-0.3759997,0.0
0.9353193,0.0047580223,0.0
0.9632325,-0.024923678,0.0
0.9997215,-0.047065344,0.0
1.0417031,-0.06379611,0.0
1.0867175,-0.077241465,0.0
1.1333371,-0.088824846,0.0
1.1808352,-0.09937091,0.0
1.2288568,-0.10933683,0.0
1.2772249,-0.11897773,0.0
1.3258475,-0.12844053,0.0
