x,y,z
1.0,0.0,0.0
1.0499153,1.1562683e-05,0.0
1.0998331,1.528387e-05,0.0
1.1497543,3.8180756e-06,0.0
1.1996787,-2.2440654e-05,0.0
1.2496063,-6.3103354e-05,0.0
1.2995372,-0.00011776935,0.0
1.3494713,-0.00018602531,0.0
1.3994087,-0.00026744427,0.0
1.4493493,-0.0003615845,0.0
1.499293,-0.00046798828,0.0
1.5492399,-0.00058618054,0.0
1.59919,-0.0007156674,0.0
1.6491433,-0.0008559345,0.0
1.6990999,-0.0010064454,0.0
1.7490596,-0.001166639,0.0
1.7990224,-0.001335928,0.0
1.8489885,-0.0015136958,0.0
1.8989578,-0.001699294,0.0
1.9489303,-0.001892039,0.0
1.9989059,-0.0020912085,0.0
2.0488849,-0.0022960373,0.0
2.098867,-0.002505713,0.0
2.1488523,-0.0027193697,0.0
2.1988409,-0.0029360831,0.0
2.2488327,-0.0031548622,0.0
2.298828,-0.003374642,0.0
2.3488264,-0.0035942732,0.0
2.3988283,-0.0038125112,0.0
2.4488335,-0.0040280023,0.0
2.498842,-0.004239267,0.0
2.548854,-0.0044446834,0.0
2.5988698,-0.00464246,0.0
2.648889,-0.0048306095,0.0
2.698912,-0.005006913,0.0
2.7489386,-0.0051688743,0.0
2.798969,-0.0053136647,0.0
2.8490033,-0.0054380503,0.0
2.8990417,-0.005538295,0.0
2.9490843,-0.0056100357,0.0
2.9991314,-0.0056481063,0.0
3.0491831,-0.0056462944,0.0
3.0992398,-0.0055969874,0.0
3.1493018,-0.0054906434,0.0
3.1993694,-0.005314953,0.0
3.2494435,-0.005053446,0.0
3.2995248,-0.004682974,0.0
3.3496146,-0.0041686688,0.0
3.399715,-0.0034521555,0.0
3.4498305,-0.0024162098,0.0
3.5,0.0,0.0
0.97902673,0.0010005427,0.0
1.0293248,-0.0027681505,0.0
1.0796207,-0.0065221796,0.0
1.1299156,-0.0102771325,0.0
1.1802094,-0.014033059,0.0
1.2305022,-0.01779002,0.0
1.2807941,-0.021548074,0.0
1.3310851,-0.02530728,0.0
1.3813752,-0.029067688,0.0
1.4316646,-0.03282935,0.0
1.4819531,-0.036592316,0.0
1.5322411,-0.04035663,0.0
1.5825284,-0.044122327,0.0
1.632815,-0.047889452,0.0
1.6831012,-0.05165804,0.0
1.7333869,-0.05542813,0.0
1.7836721,-0.05919974,0.0
1.833957,-0.0629729,0.0
1.8842416,-0.06674764,0.0
1.934526,-0.07052398,0.0
1.9848101,-0.07430192,0.0
2.0350943,-0.07808149,0.0
2.0853782,-0.08186268,0.0
2.1356623,-0.08564551,0.0
2.1859465,-0.08942998,0.0
2.2362309,-0.093216084,0.0
2.2865155,-0.09700381,0.0
2.3368006,-0.100793146,0.0
2.3870862,-0.10458408,0.0
2.4373722,-0.10837659,0.0
2.487659,-0.11217065,0.0
2.5379467,-0.11596623,0.0
2.5882354,-0.11976329,0.0
2.6385252,-0.12356179,0.0
2.6888163,-0.12736169,0.0
2.7391088,-0.13116293,0.0
2.789403,-0.13496545,0.0
2.839699,-0.1387692,0.0
2.8899972,-0.1425741,0.0
2.940298,-0.1463801,0.0
2.9906018,-0.1501871,0.0
3.0409088,-0.15399507,0.0
3.0912194,-0.15780392,0.0
3.1415346,-0.16161364,0.0
3.1918552,-0.16542421,0.0
3.2421823,-0.1692357,0.0
3.2925172,-0.17304832,0.0
3.3428626,-0.17686254,0.0
3.3932223,-0.1806795,0.0
3.4436045,-0.1845024,0.0
3.49408,-0.18837155,0.0
0.9575111,0.0029009113,0.0
1.0078852,-0.0046621645,0.0
1.0582587,-0.0122103,0.0
1.1086313,-0.01975893,0.0
1.159003,-0.027308075,0.0
1.2093741,-0.03485775,0.0
1.2597443,-0.04240798,0.0
1.3101138,-0.049958777,0.0
1.3604826,-0.05751017,0.0
1.4108506,-0.06506218,0.0
1.4612181,-0.072614826,0.0
1.511585,-0.080168135,0.0
1.5619512,-0.08772214,0.0
1.6123168,-0.095276855,0.0
1.6626819,-0.10283232,0.0
1.7130466,-0.110388555,0.0
1.7634107,-0.11794559,0.0
1.8137743,-0.12550347,0.0
1.8641376,-0.13306221,0.0
1.9145006,-0.14062187,0.0
1.9648633,-0.14818247,0.0
2.0152256,-0.15574405,0.0
2.065588,-0.16330665,0.0
2.11595,-0.17087033,0.0
2.1663122,-0.17843513,0.0
2.2166743,-0.18600109,0.0
2.2670364,-0.19356827,0.0
2.3173985,-0.20113675,0.0
2.367761,-0.20870657,0.0
2.4181237,-0.21627781,0.0
2.468487,-0.22385053,0.0
2.5188508,-0.23142484,0.0
2.569215,-0.23900081,0.0
2.6195803,-0.24657854,0.0
2.6699464,-0.25415817,0.0
2.7203135,-0.2617398,0.0
2.770682,-0.26932356,0.0
2.821052,-0.27690962,0.0
2.871424,-0.28449816,0.0
2.9217978,-0.2920894,0.0
2.972174,-0.29968363,0.0
3.022553,-0.30728114,0.0
3.0729353,-0.3148823,0.0
3.1233218,-0.3224876,0.0
3.173713,-0.33009765,0.0
3.2241101,-0.33771327,0.0
3.2745147,-0.34533566,0.0
3.3249288,-0.35296655,0.0
3.3753564,-0.3606089,0.0
3.4258053,-0.36826882,0.0
3.476344,-0.3759997,0.0
0.9353193,0.0047580223,0.0
0.9855487,-0.006565303,0.0
1.0357782,-0.017873796,0.0
1.0860069,-0.029182728,0.0
1.1362348,-0.040492117,0.0
1.1864618,-0.051801983,0.0
1.236688,-0.06311234,0.0
1.2869135,-0.07442322,0.0
1.3371383,-0.08573462,0.0
1.3873622,-0.097046584,0.0
