"x","y","z"
1,0,0
1.0898,0.0001077,0
1.1797,0.00018677,0
1.2696,0.00021204,0
1.3594,0.00018509,0
1.4493,0.00010745,0
1.5392,-1.9342e-05,0
1.6291,-0.00019373,0
1.7189,-0.00041411,0
1.8088,-0.00067885,0
1.8987,-0.00098629,0
1.9886,-0.0013347,0
2.0785,-0.0017223,0
2.1685,-0.0021473,0
2.2584,-0.0026079,0
2.3483,-0.003102,0
2.4382,-0.0036276,0
2.5282,-0.0041828,0
2.6181,-0.0047652,0
2.708,-0.0053726,0
2.798,-0.0060025,0
2.8879,-0.0066526,0
2.9779,-0.00732,0
3.0679,-0.008002,0
3.1578,-0.0086956,0
3.2478,-0.0093976,0
3.3378,-0.010104,0
3.4278,-0.010813,0
3.5178,-0.011518,0
3.6078,-0.012217,0
3.6978,-0.012904,0
3.7878,-0.013574,0
3.8778,-0.014221,0
3.9678,-0.01484,0
4.0579,-0.015423,0
4.1479,-0.015962,0
4.2379,-0.016449,0
4.328,-0.016873,0
4.4181,-0.017223,0
4.5081,-0.017484,0
4.5982,-0.017641,0
4.6883,-0.017673,0
4.7784,-0.017557,0
4.8685,-0.017262,0
4.9586,-0.016749,0
5.0488,-0.015964,0
5.1389,-0.014835,0
5.2291,-0.013247,0
5.3193,-0.011013,0
5.4096,-0.0077517,0
5.5,0,0
0.98134,0.010198,0
1.0715,0.0037773,0
1.1617,-0.0025929,0
1.2518,-0.0089664,0
1.342,-0.015343,0
1.4321,-0.021724,0
1.5223,-0.02811,0
1.6124,-0.0345,0
1.7026,-0.040894,0
1.7927,-0.047294,0
1.8829,-0.0537,0
1.973,-0.060111,0
2.0631,-0.066529,0
2.1533,-0.072952,0
2.2434,-0.079382,0
2.3335,-0.085819,0
2.4237,-0.092262,0
2.5138,-0.098711,0
2.6039,-0.10517,0
2.694,-0.11163,0
2.7842,-0.1181,0
2.8743,-0.12458,0
2.9644,-0.13106,0
3.0545,-0.13755,0
3.1446,-0.14405,0
3.2348,-0.15055,0
