x,y,z
0.99809736,-0.043412045,0.0
1.0230743,-0.04297036,0.0
1.0480517,-0.04253067,0.0
1.07303,-0.042094864,0.0
1.0980091,-0.041662894,0.0
1.122989,-0.04123471,0.0
1.1479697,-0.040810265,0.0
1.1729512,-0.04038951,0.0
1.1979336,-0.039972402,0.0
1.2229167,-0.039558887,0.0
1.2479006,-0.03914891,0.0
1.2728853,-0.038742427,0.0
1.2978709,-0.038339384,0.0
1.3228571,-0.037939724,0.0
1.3478442,-0.037543397,0.0
1.3728322,-0.037150346,0.0
1.3978208,-0.036760516,0.0
1.4228103,-0.036373854,0.0
1.4478006,-0.035990298,0.0
1.4727917,-0.03560979,0.0
1.4977835,-0.03523227,0.0
1.5227762,-0.034857675,0.0
1.5477697,-0.034485947,0.0
1.5727639,-0.03411702,0.0
1.5977589,-0.033750832,0.0
1.6227547,-0.033387315,0.0
1.6477513,-0.0330264,0.0
1.6727487,-0.03266802,0.0
1.6977469,-0.032312103,0.0
1.7227458,-0.031958576,0.0
1.7477455,-0.031607367,0.0
1.772746,-0.0312584,0.0
1.7977473,-0.030911598,0.0
1.8227494,-0.03056688,0.0
1.8477522,-0.030224165,0.0
1.8727559,-0.02988337,0.0
1.8977603,-0.029544408,0.0
1.9227655,-0.02920719,0.0
1.9477715,-0.028871628,0.0
1.9727783,-0.028537627,0.0
1.9977859,-0.028205091,0.0
2.0227942,-0.027873922,0.0
2.0478034,-0.027544018,0.0
2.0728133,-0.027215272,0.0
2.097824,-0.026887577,0.0
2.1228356,-0.02656082,0.0
2.147848,-0.026234888,0.0
2.172861,-0.025909657,0.0
2.197875,-0.025585005,0.0
2.2228897,-0.025260802,0.0
2.2479053,-0.024936916,0.0
2.2729216,-0.02461321,0.0
2.2979388,-0.024289537,0.0
2.3229568,-0.023965752,0.0
2.3479755,-0.023641696,0.0
2.3729951,-0.023317209,0.0
2.3980155,-0.02299212,0.0
2.4230368,-0.022666253,0.0
2.4480588,-0.022339426,0.0
2.4730818,-0.022011444,0.0
2.4981058,-0.021682106,0.0
2.5231304,-0.021351198,0.0
2.548156,-0.0210185,0.0
2.5731823,-0.020683775,0.0
2.5982096,-0.020346778,0.0
2.6232378,-0.020007247,0.0
2.6482668,-0.01966491,0.0
2.6732967,-0.019319473,0.0
2.6983275,-0.018970627,0.0
2.7233593,-0.018618045,0.0
2.748392,-0.018261379,0.0
2.7734258,-0.017900253,0.0
2.7984605,-0.017534269,0.0
2.823496,-0.017163001,0.0
2.8485327,-0.01678599,0.0
2.8735702,-0.01640274,0.0
2.8986087,-0.016012717,0.0
2.9236484,-0.015615341,0.0
2.948689,-0.015209981,0.0
2.9737308,-0.014795949,0.0
2.9987736,-0.014372488,0.0
3.0238175,-0.013938766,0.0
3.0488627,-0.013493863,0.0
3.073909,-0.013036754,0.0
3.0989566,-0.012566292,0.0
3.1240056,-0.012081184,0.0
3.1490557,-0.011579963,0.0
3.1741073,-0.011060949,0.0
3.1991603,-0.010522199,0.0
3.224215,-0.009961441,0.0
3.2492714,-0.009375988,0.0
3.2743294,-0.008762603,0.0
3.2993894,-0.008117324,0.0
3.3244514,-0.007435186,0.0
3.3495157,-0.006709789,0.0
3.3745825,-0.0059325793,0.0
3.3996525,-0.0050915503,0.0
3.424726,-0.004168644,0.0
3.4498043,-0.003133683,0.0
3.4748895,-0.0019261765,0.0
3.5,0.0,0.0
0.9771167,-0.040586725,0.0
1.0022849,-0.042058844,0.0
1.0274526,-0.0435272,0.0
1.0526199,-0.04499568,0.0
1.077787,-0.046464287,0.0
1.1029539,-0.04793303,0.0
1.1281204,-0.04940192,0.0
1.1532867,-0.050870962,0.0
1.1784527,-0.05234016,0.0
1.2036185,-0.053809527,0.0
1.2287841,-0.055279065,0.0
1.2539494,-0.056748785,0.0
1.2791145,-0.05821869,0.0
1.3042793,-0.05968879,0.0
1.329444,-0.06115909,0.0
1.3546085,-0.06262959,0.0
1.3797728,-0.0641003,0.0
1.4049368,-0.06557123,0.0
1.4301007,-0.06704238,0.0
1.4552643,-0.06851376,0.0
1.4804279,-0.06998537,0.0
1.5055912,-0.071457215,0.0
1.5307543,-0.0729293,0.0
1.5559174,-0.07440163,0.0
1.5810802,-0.07587421,0.0
1.6062429,-0.07734704,0.0
1.6314055,-0.07882013,0.0
1.6565679,-0.080293484,0.0
1.6817303,-0.0817671,0.0
1.7068925,-0.08324098,0.0
1.7320546,-0.08471513,0.0
1.7572166,-0.086189546,0.0
1.7823784,-0.08766424,0.0
1.8075402,-0.08913921,0.0
1.8327018,-0.09061445,0.0
1.8578634,-0.09208998,0.0
1.8830249,-0.093565784,0.0
1.9081864,-0.09504187,0.0
1.9333478,-0.09651824,0.0
1.9585092,-0.09799489,0.0
1.9836706,-0.099471815,0.0
2.008832,-0.10094903,0.0
2.0339932,-0.10242652,0.0
2.0591545,-0.1039043,0.0
2.0843158,-0.10538235,0.0
2.109477,-0.10686068,0.0
2.1346383,-0.10833929,0.0
2.1597996,-0.10981817,0.0
2.184961,-0.111297324,0.0
2.2101226,-0.11277675,0.0
2.235284,-0.114256434,0.0
2.2604456,-0.11573639,0.0
2.2856073,-0.117216595,0.0
2.310769,-0.118697055,0.0
2.3359308,-0.12017777,0.0
2.3610928,-0.12165872,0.0
2.386255,-0.12313991,0.0
2.4114172,-0.12462134,0.0
2.4365797,-0.12610298,0.0
2.4617424,-0.12758486,0.0
2.486905,-0.12906694,0.0
2.512068,-0.13054924,0.0
2.5372312,-0.13203172,0.0
2.5623946,-0.13351439,0.0
2.5875583,-0.13499723,0.0
2.6127222,-0.13648024,0.0
2.6378865,-0.1379634,0.0
2.6630511,-0.1394467,0.0
2.688216,-0.14093015,0.0
2.7133813,-0.1424137,0.0
2.738547,-0.14389737,0.0
2.7637131,-0.14538112,0.0
2.7888796,-0.14686495,0.0
2.8140466,-0.14834884,0.0
2.839214,-0.14983277,0.0
2.8643823,-0.15131672,0.0
2.889551,-0.15280068,0.0
2.9147203,-0.15428463,0.0
2.9398901,-0.15576853,0.0
2.9650607,-0.15725237,0.0
